Env,Year,Field_Location,Experiment,Replicate,Block,Plot,Range,Pass,Hybrid,Hybrid_Parent1,Hybrid_Parent2,Plant_Height_cm,Ear_Height_cm,Yield_Mg_ha,Grain_Moisture
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,1,2,1,PHN11_PHW65_0136/PHT69,PHN11_PHW65_0136,PHT69,265,116,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,2,2,2,PHN11_PHW65_0512/PHT69,PHN11_PHW65_0512,PHT69,274,117,8.13364646558337,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,3,2,3,PHN11_PHW65_0278/PHT69,PHN11_PHW65_0278,PHT69,251,121,10.974645990991,19.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,4,2,4,PHN11_PHW65_0464/PHT69,PHN11_PHW65_0464,PHT69,249,125,6.9099023837161,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,5,2,5,PHN11_PHW65_0212/PHT69,PHN11_PHW65_0212,PHT69,234,114,9.37772466361467,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,6,2,6,F42/H95,F42,H95,254,117,14.3826900739708,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,7,2,7,PHN11_PHW65_0328/PHT69,PHN11_PHW65_0328,PHT69,267,132,11.1295395804066,17.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,8,2,8,PHN11_PHW65_0358/PHT69,PHN11_PHW65_0358,PHT69,223,97,5.98577842259799,20.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,9,2,9,PHN11_PHW65_0147/PHT69,PHN11_PHW65_0147,PHT69,226,93,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,10,2,10,PHN11_PHW65_0257/PHT69,PHN11_PHW65_0257,PHT69,222,103,11.0092293931032,19.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,11,3,10,PHN11_PHW65_0251/PHT69,PHN11_PHW65_0251,PHT69,253,132,8.51398686565019,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,12,3,9,PHN11_PHW65_0055/PHT69,PHN11_PHW65_0055,PHT69,257,123,12.3237067660354,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,13,3,8,PHW52/PHN82,PHW52,PHN82,235,90,12.2312789652902,20.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,14,3,7,PHN11_PHW65_0491/PHT69,PHN11_PHW65_0491,PHT69,237,123,10.7906376443407,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,15,3,6,PHN11_PHW65_0344/PHT69,PHN11_PHW65_0344,PHT69,248,106,11.3424316147899,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,16,3,5,PHN11_PHW65_0286/PHT69,PHN11_PHW65_0286,PHT69,262,135,12.508562367526,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,17,3,4,PHN11_PHW65_0385/PHT69,PHN11_PHW65_0385,PHT69,253,109,7.12826306297676,20.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,18,3,3,PHN11_PHW65_0393/PHT69,PHN11_PHW65_0393,PHT69,252,110,16.123875793677,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,19,3,2,PHN11_PHW65_0245/PHT69,PHN11_PHW65_0245,PHT69,254,108,10.3614645562135,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,20,3,1,PHN11_PHW65_0132/PHT69,PHN11_PHW65_0132,PHT69,252,108,13.2314247925213,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,21,4,1,PHN11_PHW65_0023/PHT69,PHN11_PHW65_0023,PHT69,241,113,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,22,4,2,PHN11_PHW65_0224/PHT69,PHN11_PHW65_0224,PHT69,279,146,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,23,4,3,PHN11_PHW65_0028/PHT69,PHN11_PHW65_0028,PHT69,264,120,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,24,4,4,PHN11_PHW65_0637/PHT69,PHN11_PHW65_0637,PHT69,248,104,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,25,4,5,PHN11_PHW65_0158/PHT69,PHN11_PHW65_0158,PHT69,252,110,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,26,4,6,PHN11_PHW65_0063/PHT69,PHN11_PHW65_0063,PHT69,245,100,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,27,4,7,PHN11_PHW65_0079/PHT69,PHN11_PHW65_0079,PHT69,239,101,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,28,4,8,PHN11_PHW65_0064/PHT69,PHN11_PHW65_0064,PHT69,230,98,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,29,4,9,PHN11_PHW65_0088/PHT69,PHN11_PHW65_0088,PHT69,270,128,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,30,4,10,PHN11_PHW65_0237/PHT69,PHN11_PHW65_0237,PHT69,232,100,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,31,5,10,B14A/MO17,B14A,MO17,239,102,13.1817448496206,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,32,5,9,PHN11_PHW65_0427/PHT69,PHN11_PHW65_0427,PHT69,233,105,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,33,5,8,PHN11_PHW65_0050/PHT69,PHN11_PHW65_0050,PHT69,230,79,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,34,5,7,PHN11_PHW65_0109/PHT69,PHN11_PHW65_0109,PHT69,244,108,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,35,5,6,B73/PHN82,B73,PHN82,249,115,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,36,5,5,PHN11_PHW65_0001/PHT69,PHN11_PHW65_0001,PHT69,251,118,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,37,5,4,PHN11_PHW65_0211/PHT69,PHN11_PHW65_0211,PHT69,225,87,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,38,5,3,PHN11_PHW65_0279/PHT69,PHN11_PHW65_0279,PHT69,230,99,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,39,5,2,F42/MO17,F42,MO17,267,143,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,40,5,1,CG119/CG108,CG119,CG108,206,98,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,41,6,1,PHN11_PHW65_0422/PHT69,PHN11_PHW65_0422,PHT69,245,105,9.78510019539945,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,42,6,2,PHN11_PHW65_0027/PHT69,PHN11_PHW65_0027,PHT69,245,101,10.8584180315538,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,43,6,3,PHN11_PHW65_0100/PHT69,PHN11_PHW65_0100,PHT69,244,103,11.587673379434,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,44,6,4,PHN11_PHW65_0274/PHT69,PHN11_PHW65_0274,PHT69,237,77,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,45,6,5,PHN11_PHW65_0061/PHT69,PHN11_PHW65_0061,PHT69,234,90,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,46,6,6,PHN11_PHW65_0154/PHT69,PHN11_PHW65_0154,PHT69,239,110,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,47,6,7,PHN11_PHW65_0048/PHT69,PHN11_PHW65_0048,PHT69,220,102,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,48,6,8,PHN11_PHW65_0260/PHT69,PHN11_PHW65_0260,PHT69,227,112,9.99468023358935,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,49,6,9,PHN11_PHW65_0087/PHT69,PHN11_PHW65_0087,PHT69,218,104,10.7752330108831,19.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,50,6,10,PHN11_PHW65_0049/PHT69,PHN11_PHW65_0049,PHT69,237,119,11.7186897869904,19.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,51,7,10,PHN11_PHW65_0431/PHT69,PHN11_PHW65_0431,PHT69,252,103,11.242609589985,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,52,7,9,PHN11_PHW65_0110/PHT69,PHN11_PHW65_0110,PHT69,241,122,13.1083417711955,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,53,7,8,PHN11_PHW65_0421/PHT69,PHN11_PHW65_0421,PHT69,241,127,12.6475891844803,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,54,7,7,PHN11_PHW65_0276/PHT69,PHN11_PHW65_0276,PHT69,259,136,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,55,7,6,PHN11_PHW65_0075/PHT69,PHN11_PHW65_0075,PHT69,228,97,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,56,7,5,PHN11_PHW65_0343/PHT69,PHN11_PHW65_0343,PHT69,245,120,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,57,7,4,PHN11_PHW65_0168/PHT69,PHN11_PHW65_0168,PHT69,246,129,8.77170638339487,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,58,7,3,PHN11_PHW65_0241/PHT69,PHN11_PHW65_0241,PHT69,256,112,9.71138902430509,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,59,7,2,PHN11_PHW65_0086/PHT69,PHN11_PHW65_0086,PHT69,266,115,9.89578248679187,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,60,7,1,PHN11_PHW65_0056/PHT69,PHN11_PHW65_0056,PHT69,252,116,17.7632368862289,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,61,8,1,PHW65/PHT69,PHW65,PHT69,255,131,11.725005686708,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,62,8,2,PHN11_PHW65_0221/PHT69,PHN11_PHW65_0221,PHT69,260,134,9.99468023358935,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,63,8,3,PHN11_PHW65_0189/PHT69,PHN11_PHW65_0189,PHT69,249,99,10.5104273617479,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,64,8,4,PHN11_PHW65_0167/PHT69,PHN11_PHW65_0167,PHT69,251,99,12.878273570507,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,65,8,5,PHN11_PHW65_0284/PHT69,PHN11_PHW65_0284,PHT69,207,91,NA,NA
