Env,Year,Field_Location,Experiment,Replicate,Block,Plot,Range,Pass,Hybrid,Hybrid_orig_name,Hybrid_Parent1,Hybrid_Parent2,Plot_Area_ha,Date_Planted,Date_Harvested,Stand_Count_plants,Pollen_DAP_days,Silk_DAP_days,Plant_Height_cm,Ear_Height_cm,Root_Lodging_plants,Stalk_Lodging_plants,Yield_Mg_ha,Grain_Moisture,Twt_kg_m3
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,1,1,1,ICI_441/LH185,ICI 441/LH185,ICI_441,LH185,0.000696773415977961,5/16/17,11/13/17,33,NA,NA,137,46,NA,3,1.76126079307227,23.8,722.11091622912
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,2,1,1,ICI_441/LH51,ICI 441/LH51,ICI_441,LH51,0.000696773415977961,5/16/17,11/13/17,32,NA,NA,140,58,NA,3,1.82277310872483,20.6,738.84432427008
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,3,1,2,LH195/PHG83,LH195/PHG83,LH195,PHG83,0.000696773415977961,5/16/17,11/13/17,34,NA,NA,157,56,7,7,3.70140944288923,24.1,741.41869473792
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,4,1,2,B73/PHM49,B73/PHM49,B73,PHM49,0.000696773415977961,5/16/17,11/13/17,38,NA,NA,130,53,8,4,2.4548435358894,14.8,792.90610409472
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,5,1,3,PHN66/PHN82,PHN66/PHN82,PHN66,PHN82,0.000696773415977961,5/16/17,11/13/17,32,NA,NA,122,51,NA,NA,2.6067412949498,15.4,790.33173362688
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,6,1,3,PHW52/PHZ51,PHW52/PHZ51,PHW52,PHZ51,0.000696773415977961,5/16/17,11/13/17,35,NA,NA,137,61,NA,7,2.88354671538632,17,769.73676988416
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,7,1,4,W10004_0216/PHZ51,W10004_0216/PHZ51,W10004_0216,PHZ51,0.000696773415977961,5/16/17,11/13/17,37,NA,NA,160,71,NA,7,2.66009381362804,16.8,768.44958465024
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,8,1,4,PHB47/PHR55,PHB47/PHR55,PHB47,PHR55,0.000696773415977961,5/16/17,11/13/17,40,NA,NA,124,51,NA,12,3.13398971482889,14.9,794.19328932864
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,9,1,5,PHN66/PHZ51,PHN66/PHZ51,PHN66,PHZ51,0.000696773415977961,5/16/17,11/13/17,34,NA,NA,132,58,NA,3,2.89798327926396,14.5,801.91640073216
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,10,1,5,PHW52/PHK56,PHW52/PHK56,PHW52,PHK56,0.000696773415977961,5/16/17,11/13/17,34,NA,NA,122,38,NA,3,3.28714282726995,14.5,803.20358596608
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,11,1,6,LH198/PHW30,LH198/PHW30 ,LH198,PHW30,0.000696773415977961,5/16/17,11/13/17,38,NA,NA,132,58,8,NA,3.34991049630318,15.9,785.1829926912
NEH4_2017,2017,NEH4,G2F_2016_17,1,1,12,1,6,LH82/PHB47,PHB47/LH82,PHB47,LH82,0.000696773415977961,5/16/17,11/13/17,40,NA,NA,119,48,24,4,3.68195146548893,14.2,810.9266973696
