Env,Year,Field_Location,Experiment,Replicate,Block,Plot,Range,Pass,Hybrid,Hybrid_orig_name,Hybrid_Parent1,Hybrid_Parent2,Plot_Area_ha,Date_Planted,Date_Harvested,Stand_Count_plants,Pollen_DAP_days,Silk_DAP_days,Plant_Height_cm,Ear_Height_cm,Root_Lodging_plants,Stalk_Lodging_plants,Yield_Mg_ha,Grain_Moisture,Twt_kg_m3
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,1,1,1,B37/H95,B37/H95,B37,H95,0.000929031221303949,6/7/19,10/15/19,90,59,59,253,129,NA,0,11.2171038046023,14.1,675.772247808
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,2,1,2,PHW65_MOG_0067/PHT69,PHW65_MOG_0067/PHT69,PHW65_MOG_0067,PHT69,0.000929031221303949,6/7/19,10/15/19,89,57,57,235,132,NA,0,9.39506257857111,18.7,705.37750818816
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,3,1,3,PHW65_MOG_0173/PHT69,PHW65_MOG_0173/PHT69,PHW65_MOG_0173,PHT69,0.000929031221303949,6/7/19,10/15/19,82,57,57,229,103,NA,1,10.8779917364987,18.5,731.12121286656
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,4,1,4,PHW65_MOG_0444/PHT69,PHW65_MOG_0444/PHT69,PHW65_MOG_0444,PHT69,0.000929031221303949,6/7/19,10/15/19,86,53,55,220,103,NA,0,9.91335108613437,20.2,707.951878656
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,5,1,5,PHW65_MOG_0180/PHT69,PHW65_MOG_0180/PHT69,PHW65_MOG_0180,PHT69,0.000929031221303949,6/7/19,10/15/19,71,59,59,248,136,NA,0,9.36027889054961,24.3,701.5159524864
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,6,1,6,PHW65_MOG_0223/PHT69,PHW65_MOG_0223/PHT69,PHW65_MOG_0223,PHT69,0.000929031221303949,6/7/19,10/15/19,88,62,62,240,120,NA,0,8.41857698461143,22.5,710.52624912384
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,7,1,7,PHW65_MOG_0138/PHT69,PHW65_MOG_0138/PHT69,PHW65_MOG_0138,PHT69,0.000929031221303949,6/7/19,10/15/19,83,60,59,219,101,NA,0,9.51778775026169,22.3,707.951878656
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,8,1,8,PHW65_MOG_0517/PHT69,PHW65_MOG_0517/PHT69,PHW65_MOG_0517,PHT69,0.000929031221303949,6/7/19,10/15/19,84,64,64,244,100,NA,0,6.50408741832373,22.9,695.0800263168
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,9,1,9,CG119/CG108,CG119/CG108,CG119,CG108,0.000929031221303949,6/7/19,10/15/19,72,50,51,198,89,NA,0,6.26198832727691,12.6,740.131509504
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,10,1,10,CG119/CG108,CG119/CG108,CG119,CG108,0.000929031221303949,6/7/19,10/15/19,84,57,58,248,131,NA,0,12.917922144472,21,734.98276856832
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,11,1,11,PHW65_MOG_0463/PHT69,PHW65_MOG_0463/PHT69,PHW65_MOG_0463,PHT69,0.000929031221303949,6/7/19,10/15/19,77,58,59,242,119,NA,1,11.3000184097699,22.7,660.32602500096
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,12,1,12,B37/OH43,B37/OH43,B37,OH43,0.000929031221303949,6/7/19,10/15/19,85,56,56,257,126,NA,0,12.2514851716476,13.1,736.26995380224
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,13,1,13,PHW65_MOG_0329/PHT69,PHW65_MOG_0329/PHT69,PHW65_MOG_0329,PHT69,0.000929031221303949,6/7/19,10/15/19,83,57,58,242,120,NA,0,11.853032825142,21.1,728.54684239872
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,14,1,14,PHW65_MOG_0633/PHT69,PHW65_MOG_0633/PHT69,PHW65_MOG_0633,PHT69,0.000929031221303949,6/7/19,10/15/19,88,57,57,253,116,NA,1,11.8016084358743,18.3,710.52624912384
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,15,1,15,PHW65_MOG_0017/PHT69,PHW65_MOG_0017/PHT69,PHW65_MOG_0017,PHT69,0.000929031221303949,6/7/19,10/15/19,85,57,57,252,137,NA,0,10.3524807023529,22.1,737.55713903616
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,16,1,16,PHW65_MOG_0200/PHT69,PHW65_MOG_0200/PHT69,PHW65_MOG_0200,PHT69,0.000929031221303949,6/7/19,10/15/19,85,55,54,244,119,NA,0,13.6408681652782,19.7,732.40839810048
OHH1_2019,2019,OHH1,G2F_PHT69,1,1,17,1,17,PHW65_MOG_0296/PHT69,PHW65_MOG_0296/PHT69,PHW65_MOG_0296,PHT69,0.000929031221303949,6/7/19,10/15/19,81,57,57,239,137,NA,1,11.8232182354092,21.6,723.39810146304
