"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-044xZM-0001","PLA-044","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,9,19.21,NA,NA,266.11,119.07,NA
"PLA-015xZM-0001","PLA-015","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,9,19.83,NA,NA,289,121.92,NA
"PLA-014xZM-0001","PLA-014","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,7,19.8,NA,NA,276.45,119.3,NA
"PLA-048xZM-0001","PLA-048","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,12,15.85,NA,NA,274.6,121.14,NA
"PLA-043xZM-0001","PLA-043","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,2,20.89,NA,NA,300.57,119.48,NA
"PLA-053xZM-0001","PLA-053","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,1,22.59,NA,NA,290.42,120.21,NA
"PLA-041xZM-0001","PLA-041","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,8,18.87,NA,NA,273.35,110.88,NA
"PLA-024xZM-0001","PLA-024","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,3,21.76,NA,NA,292.33,129.87,NA
"PLA-009xZM-0001","PLA-009","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,9,21.39,NA,NA,282.62,123.3,NA
"PLA-038xZM-0001","PLA-038","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,4,21.65,NA,NA,271.38,121.72,NA
"PLA-042xZM-0001","PLA-042","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,7,22.04,NA,NA,290.7,125.61,NA
"PLA-013xZM-0001","PLA-013","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,4,21.94,NA,NA,265.1,124.17,NA
"PLA-055xZM-0001","PLA-055","ZM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,5,21,NA,NA,274.34,117.71,NA
