"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-042xZM-0001","PLA-042","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,11,9,11.57,NA,NA,308.29,103.2,8.91
"PLA-058xZM-0001","PLA-058","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,6,7,12.78,NA,NA,297.6,107.83,9.29
"PLA-002xZM-0001","PLA-002","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,9,15.25,NA,NA,319.79,107.33,7.83
"PLA-051xZM-0001","PLA-051","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,1,14.18,NA,NA,315.68,112.07,9.55
"PLA-025xZM-0001","PLA-025","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,2,13.43,NA,NA,316.07,108.85,8.14
"PLA-008xZM-0001","PLA-008","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,12,5,11.78,NA,NA,307.26,108.63,9.11
"PLA-015xZM-0001","PLA-015","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,6,13.7,NA,NA,299.89,111.11,7.88
"PLA-057xZM-0001","PLA-057","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,7,8,8.33,NA,NA,300.63,110.52,9.99
"PLA-055xZM-0001","PLA-055","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,5,8,12.34,NA,NA,319.04,102.41,9.19
"PLA-030xZM-0001","PLA-030","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,7,1,12.94,NA,NA,317.16,115.07,9.31
"PLA-053xZM-0001","PLA-053","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,9,14.24,NA,NA,290.42,106.11,10.31
"PLA-043xZM-0001","PLA-043","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,8,8.04,NA,NA,313.81,104.56,7.48
"PLB-029xZM-0001","PLB-029","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,3,16.24,NA,NA,312.29,108.88,11.28
"PLB-048xZM-0001","PLB-048","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,12,11,12.47,NA,NA,300.41,110.04,10.35
"PLB-019xZM-0001","PLB-019","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,5,10,13.88,NA,NA,338.01,112.06,8.98
"PLB-030xZM-0001","PLB-030","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,11,15.36,NA,NA,300.2,114.79,8.79
"PLB-047xZM-0001","PLB-047","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,8,8,12.89,NA,NA,286.19,111.79,10.95
"PLB-008xZM-0001","PLB-008","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,6,12,7.58,NA,NA,306.17,110.39,9.82
"PLB-025xZM-0001","PLB-025","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,5,14.89,NA,NA,302.15,116.12,9.08
"PLB-022xZM-0001","PLB-022","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,8,11.68,NA,NA,272.43,110.65,8.71
"PLB-026xZM-0001","PLB-026","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,6,10,11.53,NA,NA,325.08,107.99,8.54
"PLB-033xZM-0001","PLB-033","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,1,14.26,NA,NA,285.19,110.08,9.51
"PLB-053xZM-0001","PLB-053","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,11,3,12.07,NA,NA,279.65,111.88,8.52
"PLB-049xZM-0001","PLB-049","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,7,7,13.35,NA,NA,281.12,109.83,8.59
"PLA-042xZM-0002","PLA-042","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,4,7,12.85,NA,NA,294.49,107.45,9.76
"PLA-058xZM-0002","PLA-058","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,10,11.46,NA,NA,316.63,107.15,9.09
"PLA-002xZM-0002","PLA-002","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,11,11,12.95,NA,NA,289.94,113.63,8.17
