"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-042xZM-0001","PLA-042","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,13,8,15.14,10.97,74.64,293.66,124.32,NA
"PLA-030xZM-0001","PLA-030","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,5,14,16.63,10.71,78.93,264.81,120.08,NA
"PLA-051xZM-0001","PLA-051","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,15,2,15.71,9.67,74.66,278.18,117.25,NA
"PLA-058xZM-0001","PLA-058","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,14,6,18.31,9.33,73.12,277.57,113.57,NA
"PLA-002xZM-0001","PLA-002","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,1,10,14.01,10.88,76.62,301.04,114.81,NA
"PLA-055xZM-0001","PLA-055","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,8,6,12.42,8.68,73.1,259.94,114.05,NA
"PLA-053xZM-0001","PLA-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,12,11,16.81,10.86,78.31,279,118.17,NA
"PLA-025xZM-0001","PLA-025","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,6,10,17.44,10.33,81.33,289.13,116.4,NA
"PLA-015xZM-0001","PLA-015","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,9,2,11.79,9.06,75.98,275.57,115.95,NA
"PLA-043xZM-0001","PLA-043","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,7,3,12.84,9.08,76.84,274.52,112,NA
"PLA-008xZM-0001","PLA-008","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,8,8,16.33,11.24,79.39,284.97,123.48,NA
"PLA-057xZM-0001","PLA-057","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,6,1,11.25,9.74,74.47,275.35,117.63,NA
"PLA-041xZM-0001","PLA-041","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,13,7,11.25,11.07,75.57,273.83,116.71,NA
"PLA-024xZM-0001","PLA-024","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,6,6,12.38,10.5,76.52,261.1,117.77,NA
"PLA-009xZM-0001","PLA-009","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,3,1,13.5,10.69,75.13,263.33,119.64,NA
"PLA-023xZM-0001","PLA-023","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,8,3,11.41,9.32,73.51,240.67,113.95,NA
"PLA-014xZM-0001","PLA-014","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,15,5,12.29,11.48,82.18,256.56,118.9,NA
"PLA-044xZM-0001","PLA-044","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,6,4,13.16,10.06,73.31,253.44,110.47,NA
"PLB-048xZM-0001","PLB-048","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,11,2,10.02,9.11,69.29,283.2,108.5,NA
"PLB-029xZM-0001","PLB-029","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,7,12,16.42,11.03,76.16,304.14,119.73,NA
"PLB-019xZM-0001","PLB-019","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,10,9,11.74,9.47,72.67,293.31,116.89,NA
"PLB-022xZM-0001","PLB-022","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,6,11,16.76,11.05,77.51,264.86,123.88,NA
"PLB-008xZM-0001","PLB-008","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,9,6,11.2,10.38,74.95,278.97,115.25,NA
"PLB-052xZM-0001","PLB-052","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,13,12,12.26,11.1,73.89,291.31,120.58,NA
"PLB-033xZM-0001","PLB-033","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,2,6,13.55,9.53,78.76,286.41,119.03,NA
"PLB-030xZM-0001","PLB-030","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,11,10,12.96,12.16,84.39,266.78,124.91,NA
"PLB-024xZM-0001","PLB-024","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,9,15,10.81,10.48,77.65,271.01,115.69,NA
"PLB-047xZM-0001","PLB-047","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,11,7,10.38,11.52,73.64,262.66,116.89,NA
"PLB-045xZM-0001","PLB-045","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,14,2,11.17,9.95,71.55,263.64,119.4,NA
"PLB-026xZM-0001","PLB-026","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,1,6,14.08,10.38,78.73,279.86,121.54,NA
"PLB-036xZM-0001","PLB-036","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,4,1,12.12,10.26,72.54,245.57,115.41,NA
"PLB-053xZM-0001","PLB-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,3,14,11.8,11.34,75.31,273.4,119.2,NA
"PLB-049xZM-0001","PLB-049","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,13,1,10.92,9.29,72.8,246.56,117.8,NA
"PLB-025xZM-0001","PLB-025","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,7,8,13.9,11.81,78.61,275.46,119.74,NA
"PLB-032xZM-0001","PLB-032","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,3,4,8.65,10,73.15,269.85,112.42,NA
"PLB-027xZM-0001","PLB-027","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,11,11,12.21,10.79,72.81,287.45,122.4,NA
"PLA-042xZM-0002","PLA-042","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,2,14,16.08,11.31,80.45,258.34,116.04,NA
"PLA-030xZM-0002","PLA-030","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,6,7,16.52,8.38,73.82,248.47,118.36,NA
"PLA-051xZM-0002","PLA-051","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,2,13,15.22,10.82,74.78,254.98,119.36,NA
"PLA-058xZM-0002","PLA-058","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,2,8,18.37,9.49,77.28,277.53,114.09,NA
"PLA-002xZM-0002","PLA-002","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,14,11,18.4,9.39,75.88,293.26,117.09,NA
"PLA-055xZM-0002","PLA-055","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,10,13,17.14,10.64,84.81,267.94,118.88,NA
"PLA-053xZM-0002","PLA-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,6,3,13.56,9.58,74.31,248.55,113.44,NA
"PLA-025xZM-0002","PLA-025","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,2,5,14.21,8.94,83.68,268.95,108.48,NA
"PLA-015xZM-0002","PLA-015","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,2,3,17.07,9.87,79.22,275.6,116.17,NA
"PLA-043xZM-0002","PLA-043","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,3,7,16.48,10.58,75.95,247.78,116.33,NA
"PLA-008xZM-0002","PLA-008","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,1,15,15.06,9.94,82.64,255.26,117.59,NA
"PLA-057xZM-0002","PLA-057","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,6,5,11.88,9.72,75.33,257.4,113,NA
"PLA-041xZM-0002","PLA-041","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,6,9,14.38,11.08,78,250.92,113.34,NA
"PLA-024xZM-0002","PLA-024","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,6,14,18.2,11.24,80.54,260.85,122.12,NA
"PLA-009xZM-0002","PLA-009","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,9,12,19.02,10.76,80.09,280.56,126.12,NA
"PLA-023xZM-0002","PLA-023","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,11,12,16.75,10.22,84.07,274,124.02,NA
"PLA-014xZM-0002","PLA-014","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,5,3,14.09,10.62,73.47,230.07,115.77,NA
"PLA-044xZM-0002","PLA-044","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,10,5,13.69,9.36,80.38,232.05,109.45,NA
"PLB-048xZM-0002","PLB-048","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,12,6,12.17,9.72,75.25,266.5,111.22,NA
"PLB-029xZM-0002","PLB-029","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,9,4,14.95,8.28,71.45,256.11,106.07,NA
"PLB-019xZM-0002","PLB-019","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,15,3,13.35,9.09,76.1,264.52,114.93,NA
"PLB-022xZM-0002","PLB-022","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,14,7,12.84,10.18,79.22,261.32,115.85,NA
"PLB-008xZM-0002","PLB-008","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,7,14,10.32,10.51,78.79,254.27,119.61,NA
"PLB-052xZM-0002","PLB-052","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,5,7,14.96,9.31,77.6,285.73,116.47,NA
"PLB-033xZM-0002","PLB-033","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,3,5,13.78,10.29,77.38,246.46,113.21,NA
"PLB-030xZM-0002","PLB-030","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,9,3,10.56,9.26,79.28,243.52,117.44,NA
"PLB-024xZM-0002","PLB-024","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,5,4,12.13,8.49,76.23,237.24,112.8,NA
