"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-053xZM-0001","PLA-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,2,3,18.51,9.92,76.35,300.66,118.58,9.11
"PLA-014xZM-0001","PLA-014","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,11,7,17.99,10.74,73.7,279.54,116.55,8.26
"PLA-030xZM-0001","PLA-030","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,9,4,18.74,9.74,66.62,280.61,115.26,7.13
"PLA-044xZM-0001","PLA-044","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,2,2,21.08,10.38,71.71,266.83,117.41,7.91
"PLA-009xZM-0001","PLA-009","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,9,6,15.64,9.82,67.88,287.86,120.1,8.06
"PLA-043xZM-0001","PLA-043","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,6,5,17.45,8.54,69.21,287.86,113.92,9.28
"PLA-024xZM-0001","PLA-024","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,10,3,16.75,10.63,70.53,290.03,117.6,7.22
"PLA-002xZM-0001","PLA-002","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,5,9,18.83,9.84,69.55,285.34,110.62,6.94
"PLB-047xZM-0001","PLB-047","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,12,1,19.31,9.84,68.16,300.47,113.19,8.44
"PLB-053xZM-0001","PLB-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,2,9,14.67,9.28,68.94,305.63,116.5,9.4
"PLB-045xZM-0001","PLB-045","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,8,9,17.24,10.41,66.38,281.04,115.94,7.38
"PLB-026xZM-0001","PLB-026","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,12,2,14.93,9.67,71.43,297.95,120.33,7.54
"PLB-025xZM-0001","PLB-025","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,8,5,16.76,9.75,71.26,275.14,114.99,9.05
"PLB-022xZM-0001","PLB-022","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,7,9,16.57,9.2,66.92,288.02,118.83,7.04
"PLB-052xZM-0001","PLB-052","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,5,2,16.66,9.39,66.69,298.82,117.92,9.98
"PLB-027xZM-0001","PLB-027","ZM-0001","WEST-2024-L1","WEST-2024-L1-B1",1,9,8,14.35,9.34,65.64,294.72,117.9,8.71
"PLA-053xZM-0002","PLA-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,12,4,20.12,8.49,70.94,278.65,115.67,9.81
"PLA-014xZM-0002","PLA-014","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,4,2,18.38,9.53,72.22,289.58,115.82,9.31
"PLA-030xZM-0002","PLA-030","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,6,11,22.88,9.33,68.72,273.25,115.65,7.07
"PLA-044xZM-0002","PLA-044","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,9,1,18.25,8.87,72.37,266.77,111.19,9.2
"PLA-009xZM-0002","PLA-009","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,1,6,21.08,10.38,73.05,276.12,118.01,8.98
"PLA-043xZM-0002","PLA-043","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,4,9,17.63,9.62,74.28,277.17,118.07,9
"PLA-024xZM-0002","PLA-024","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,11,1,19.63,8.97,74.23,263.98,118.44,8.17
"PLA-002xZM-0002","PLA-002","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,5,7,18.86,7.52,70.99,290.8,115.95,6.79
"PLB-047xZM-0002","PLB-047","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,2,7,15.8,10.18,72.85,302.94,120.77,7.77
"PLB-053xZM-0002","PLB-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,9,2,14.78,9.18,71.77,288.7,115.29,10.41
"PLB-045xZM-0002","PLB-045","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,7,3,15.64,10.07,69.97,282.77,119.15,7.93
"PLB-026xZM-0002","PLB-026","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,12,10,19.31,9.61,71.5,288.08,116.31,8.22
"PLB-025xZM-0002","PLB-025","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,5,5,14.42,9.17,71.95,287.1,118.18,7.84
"PLB-022xZM-0002","PLB-022","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,7,7,17.61,9,71.76,261.14,114.4,7.64
"PLB-052xZM-0002","PLB-052","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,1,10,16.37,8.87,70.87,298.37,119.05,8.5
"PLB-027xZM-0002","PLB-027","ZM-0002","WEST-2024-L1","WEST-2024-L1-B1",1,11,2,16.14,9.46,67.22,270.56,112.35,7.73
"PLA-053xZM-0003","PLA-053","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,4,7,20.56,8,76.98,306.68,116.27,9.37
"PLA-014xZM-0003","PLA-014","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,5,1,17.95,9.47,78.47,304.85,118.73,9.39
"PLA-030xZM-0003","PLA-030","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,9,3,20.38,9.17,72.3,282.2,126.37,8
"PLA-044xZM-0003","PLA-044","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,4,6,19.77,8.42,75.36,281.38,115.13,9.67
"PLA-009xZM-0003","PLA-009","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,2,4,19.01,10.14,70.72,286.44,122.99,9.55
"PLA-043xZM-0003","PLA-043","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,5,6,21.13,9.54,71.74,279.77,118.28,9.97
"PLA-024xZM-0003","PLA-024","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,11,12,16.53,8.12,76.13,295.01,119.04,8.19
"PLA-002xZM-0003","PLA-002","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,4,3,19.5,8.18,71.71,298.1,115.3,8.41
"PLB-047xZM-0003","PLB-047","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,7,12,16.8,8.18,74.61,293.77,115.79,7.77
"PLB-053xZM-0003","PLB-053","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,10,10,15.65,8.74,74.33,281.7,118.51,8.39
"PLB-045xZM-0003","PLB-045","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,4,1,18.22,8.71,71.1,277.32,124.01,8.36
"PLB-026xZM-0003","PLB-026","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,12,6,15.75,10.18,73.7,284.8,119.57,8.92
"PLB-025xZM-0003","PLB-025","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,1,12,14.46,9.47,73.09,309.13,122.3,8.77
"PLB-022xZM-0003","PLB-022","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,2,6,18.3,9.18,73.94,277.51,121.32,10.12
"PLB-052xZM-0003","PLB-052","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,4,4,17.41,10.04,76.3,319,120.89,10.34
"PLB-027xZM-0003","PLB-027","ZM-0003","WEST-2024-L1","WEST-2024-L1-B1",1,10,8,16.97,8.84,70.47,292.94,121.84,10.16
"PLA-053xZM-0001","PLA-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,7,8,18.81,10.06,67.48,308.69,116.82,10.61
"PLA-014xZM-0001","PLA-014","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,8,6,18.46,10.83,71.59,285.57,115.37,7.87
"PLA-030xZM-0001","PLA-030","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,3,11,17.86,10.41,65.97,283.93,115.8,6.76
"PLA-044xZM-0001","PLA-044","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,6,6,18.23,10.51,69.55,304.12,114.49,8.99
"PLA-009xZM-0001","PLA-009","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,1,2,16.73,10.13,69.18,297.2,120,7.53
"PLA-043xZM-0001","PLA-043","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,8,3,17.24,10.27,71.61,300.42,112.23,9.31
"PLA-024xZM-0001","PLA-024","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,4,8,15.38,9.94,73.86,288.56,116.2,8.67
"PLA-002xZM-0001","PLA-002","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,9,9,16.61,8.89,64.26,302.94,116.36,6.37
"PLB-047xZM-0001","PLB-047","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,5,10,15.82,9.95,62.46,298.44,118.92,7.81
"PLB-053xZM-0001","PLB-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,5,12,10.77,10.62,66.68,310.86,113.66,7.5
"PLB-045xZM-0001","PLB-045","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,11,4,15.15,9.26,67.78,293.42,119.47,7.96
"PLB-026xZM-0001","PLB-026","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,10,12,13.99,8.91,69.08,290.56,114.74,7.18
"PLB-025xZM-0001","PLB-025","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,11,11,15.64,10.17,68.73,272.11,117.37,8.35
"PLB-022xZM-0001","PLB-022","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,7,10,12.71,9.52,64.23,304.5,112.92,9.73
"PLB-052xZM-0001","PLB-052","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,6,7,13.57,8.19,66.92,285.87,117.99,10.08
"PLB-027xZM-0001","PLB-027","ZM-0001","WEST-2024-L1","WEST-2024-L1-B2",2,10,9,15.22,10.11,65.68,277.54,115.39,8.43
"PLA-053xZM-0002","PLA-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,2,12,16.33,9.58,62.55,285.52,116.12,9.8
"PLA-014xZM-0002","PLA-014","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,3,5,18.09,9.84,71.89,277.2,118.76,7.49
"PLA-030xZM-0002","PLA-030","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,11,3,22.56,9.71,66.4,296.44,118.37,8.26
"PLA-044xZM-0002","PLA-044","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,8,8,17.92,9.13,71.72,263.83,114,8.28
"PLA-009xZM-0002","PLA-009","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,5,11,17.98,9.31,73.81,270.17,121.06,8.21
"PLA-043xZM-0002","PLA-043","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,7,2,19.58,8.66,67.2,280.43,114.55,10.12
"PLA-024xZM-0002","PLA-024","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,8,2,18.21,10.43,70.83,313.56,117.4,7.89
"PLA-002xZM-0002","PLA-002","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,3,2,17.98,9.39,69.32,286.3,115.85,7.28
"PLB-047xZM-0002","PLB-047","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,10,7,17.79,9.16,68.72,291.23,116.72,7.91
"PLB-053xZM-0002","PLB-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,7,6,14.47,9.41,73.29,264.64,117.22,9.16
"PLB-045xZM-0002","PLB-045","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,6,8,17.07,8.57,70.55,283.21,115.18,6.59
"PLB-026xZM-0002","PLB-026","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,7,11,16.83,9.04,68.65,297.63,113.79,7.31
"PLB-025xZM-0002","PLB-025","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,10,6,15.55,9.39,70.17,299.5,116.3,8.75
"PLB-022xZM-0002","PLB-022","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,5,3,15.38,9.15,67.63,263.28,116.19,7.79
"PLB-052xZM-0002","PLB-052","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,10,5,15.79,9.37,73.92,298.93,115.36,8.46
"PLB-027xZM-0002","PLB-027","ZM-0002","WEST-2024-L1","WEST-2024-L1-B2",2,1,11,14.53,10.09,61.67,277,114.55,7.06
"PLA-053xZM-0003","PLA-053","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,6,12,19.21,9.24,74.73,279.02,113.74,8.59
"PLA-014xZM-0003","PLA-014","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,9,7,19.61,9.72,74.35,293.31,120.81,8.91
"PLA-030xZM-0003","PLA-030","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,11,10,19.48,8.79,73.65,291.42,121.06,8.57
"PLA-044xZM-0003","PLA-044","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,1,4,20.03,10.84,71.67,282.64,120.69,9.91
"PLA-009xZM-0003","PLA-009","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,8,10,18.87,10.44,75.56,304.97,126.38,9.88
"PLA-043xZM-0003","PLA-043","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,6,1,17.97,9.05,70.91,297.28,118.58,9.89
"PLA-024xZM-0003","PLA-024","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,9,10,17.37,9.12,79.06,292.69,119.13,9.95
"PLA-002xZM-0003","PLA-002","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,9,5,14.31,9.65,67.98,307.32,118.18,7.43
"PLB-047xZM-0003","PLB-047","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,7,1,15.76,8.97,74.98,317.15,118.87,7.65
"PLB-053xZM-0003","PLB-053","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,11,8,11.57,9.26,73.18,315.21,123.22,8.79
"PLB-045xZM-0003","PLB-045","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,11,9,15.72,8.33,73.83,310.91,123.56,8.57
"PLB-026xZM-0003","PLB-026","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,2,5,15.6,9.07,76.12,303.81,121.38,9.14
"PLB-025xZM-0003","PLB-025","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,6,4,16.71,7.96,73.33,309.24,119.98,8.66
"PLB-022xZM-0003","PLB-022","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,6,9,18.21,8.99,64.62,286.31,117.98,7.96
"PLB-052xZM-0003","PLB-052","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,3,3,15.68,9.25,72.18,300.89,121.08,10.92
"PLB-027xZM-0003","PLB-027","ZM-0003","WEST-2024-L1","WEST-2024-L1-B2",2,1,7,15.81,9.24,68.75,291.24,116.13,7.56
"PLA-053xZM-0001","PLA-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,1,5,15.94,9.68,68.72,291.85,114.78,10
"PLA-014xZM-0001","PLA-014","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,3,4,16.11,10.88,63.61,296.91,111.21,8.66
"PLA-030xZM-0001","PLA-030","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,3,8,17.3,8.85,65.33,297.15,116.19,7.69
"PLA-044xZM-0001","PLA-044","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,9,12,19.19,9.46,66.55,282.31,109.16,8.24
"PLA-009xZM-0001","PLA-009","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,4,11,15.55,9.22,68.25,311.26,118.64,9.23
"PLA-043xZM-0001","PLA-043","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,2,10,16.34,10.06,72.19,290.35,111.71,8.88
"PLA-024xZM-0001","PLA-024","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,3,6,17.46,10.21,72.54,302.42,116.96,8.4
"PLA-002xZM-0001","PLA-002","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,1,3,20.18,9.28,65.96,309.24,114.19,7.01
"PLB-047xZM-0001","PLB-047","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,5,4,14.99,9.68,64.14,297.86,114.68,7.6
"PLB-053xZM-0001","PLB-053","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,10,1,13.38,8.96,69.42,321.9,114.63,10.3
"PLB-045xZM-0001","PLB-045","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,8,12,16.03,9.98,67.68,300.23,117.82,7.48
"PLB-026xZM-0001","PLB-026","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,7,4,17.12,9.06,69.42,302.13,112.1,8.26
"PLB-025xZM-0001","PLB-025","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,3,10,15.61,9.61,65.85,298.15,118.4,8.46
"PLB-022xZM-0001","PLB-022","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,12,12,16.91,9.49,70.95,293.86,113.72,9.28
"PLB-052xZM-0001","PLB-052","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,6,10,17.01,9.14,69.2,291.39,116.86,8.4
"PLB-027xZM-0001","PLB-027","ZM-0001","WEST-2024-L1","WEST-2024-L1-B3",3,4,12,16.85,10.06,63.79,287.58,114.55,8.2
"PLA-053xZM-0002","PLA-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,7,5,15.95,8.62,69.79,291.04,115.73,8.89
"PLA-014xZM-0002","PLA-014","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,12,7,19.17,10.83,69.73,287.23,121.08,8.35
