"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-015xZM-0001","PLA-015","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,1,3,13.24,6.9,79.64,248.98,109.97,8.01
"PLA-055xZM-0001","PLA-055","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,2,6,13.88,7.78,74.14,275.31,110.76,6.38
"PLA-058xZM-0001","PLA-058","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,1,6,12.14,7.72,70.83,259.18,105.41,7.31
"PLB-029xZM-0001","PLB-029","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,5,5,14.53,7.6,73.17,262.91,112.52,8.93
"PLB-019xZM-0001","PLB-019","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,2,2,15.07,7.36,76.23,285.73,112,6.67
"PLA-015xZM-0002","PLA-015","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,3,10.91,7.72,73.39,248.1,107.91,5.15
"PLA-055xZM-0002","PLA-055","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,2,3,8.72,6.89,72.84,226.61,107.15,5.56
"PLA-058xZM-0002","PLA-058","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,3,3,8.88,7.74,71.07,222.64,106.88,5.52
"PLB-029xZM-0002","PLB-029","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,6,14.49,7.01,73.86,266.34,108.5,6.92
"PLB-019xZM-0002","PLB-019","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,5,2,7.99,6.17,80.43,259.27,117.72,6.34
"PLA-015xZM-0003","PLA-015","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,1,2,10.72,7.15,81.9,235.61,114.55,6.83
"PLA-055xZM-0003","PLA-055","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,5,3,9.54,7.22,77.11,231.21,117.08,6.8
"PLA-058xZM-0003","PLA-058","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,3,5,11.1,7.92,76.54,225.79,110.27,6.6
"PLB-029xZM-0003","PLB-029","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,1,4,11.86,7.28,79.83,237.44,117.31,9.69
"PLB-019xZM-0003","PLB-019","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,4,12.44,7.19,78.48,253.64,121.47,6.95
"PLA-015xZM-0001","PLA-015","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,1,11.43,6.25,73.27,251.26,109.9,5.68
"PLA-055xZM-0001","PLA-055","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,2,5,12.67,6.56,71.49,239.82,104.38,6.27
"PLA-058xZM-0001","PLA-058","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,4,2,11.76,7.19,66.04,238.89,106.48,6.53
"PLB-029xZM-0001","PLB-029","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,2,4,14.2,6.86,74.68,253.97,108.53,8.64
"PLB-019xZM-0001","PLB-019","ZM-0001","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,6,11.76,7.39,75.83,257.41,115.14,5.07
"PLA-015xZM-0002","PLA-015","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,4,5,12.4,6.26,75.3,234.25,110.39,5.79
"PLA-055xZM-0002","PLA-055","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,1,1,9.74,7.06,73.93,241.49,106.66,6.1
"PLA-058xZM-0002","PLA-058","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,4,9.06,7.68,68.94,233.42,103.32,6.09
"PLB-029xZM-0002","PLB-029","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,2,1,12.24,8.06,72.03,261.43,105,7.1
"PLB-019xZM-0002","PLB-019","ZM-0002","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,1,5,13.27,7.85,74.05,262.18,112.98,6.48
"PLA-015xZM-0003","PLA-015","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,5,4,12.73,8.81,77.69,215.73,112.56,5.05
"PLA-055xZM-0003","PLA-055","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,5,6,11.28,8.75,80.34,229.34,112.25,8.19
"PLA-058xZM-0003","PLA-058","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,4,1,10.11,7.71,75.18,225.98,108.78,6.88
"PLB-029xZM-0003","PLB-029","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,2,8.47,6.74,75.86,230.72,114.53,8.57
"PLB-019xZM-0003","PLB-019","ZM-0003","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,5,1,11.33,8.29,79.11,242.88,120.92,6.69
"PLA-015xZM-0001","PLA-015","ZM-0001","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,3,2,14.43,5.97,68.13,221.42,110.1,4.98
"PLA-055xZM-0001","PLA-055","ZM-0001","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,1,4,15.31,7.52,74.07,287.35,114.54,6.11
"PLA-058xZM-0001","PLA-058","ZM-0001","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,2,4,17.75,7.28,71.21,275.14,115.29,6.63
"PLB-029xZM-0001","PLB-029","ZM-0001","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,2,6,18.84,7.57,69.53,258.24,115.77,6.91
