"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-015xZM-0001","PLA-015","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,4,15.38,8.36,85.02,281.38,115.94,9.74
"PLA-055xZM-0001","PLA-055","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,2,17.78,9.46,79.81,297.9,113.27,9.06
"PLA-025xZM-0001","PLA-025","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,2,17.27,8.7,83.02,279.51,122.6,11.14
"PLB-030xZM-0001","PLB-030","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,1,14.6,8.36,85.03,283.22,121.84,9.24
"PLB-026xZM-0001","PLB-026","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,4,2,17,9.83,80.41,278.13,117.16,9.67
"PLB-045xZM-0001","PLB-045","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,1,4,16.46,8.15,73.97,268.71,124.62,8.64
"PLA-015xZM-0002","PLA-015","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,6,5,17.08,8.02,77.47,287.2,117.4,8.89
"PLA-055xZM-0002","PLA-055","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,6,15.31,7.34,75.55,257.94,114.44,7.24
"PLA-025xZM-0002","PLA-025","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,4,4,17.15,6.12,75.77,264.79,107.98,9.9
"PLB-030xZM-0002","PLB-030","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,1,5,17.34,8.36,79.15,274.75,114.16,9.23
"PLB-026xZM-0002","PLB-026","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,2,5,13.75,7.16,75.87,256.43,112.92,9.07
"PLB-045xZM-0002","PLB-045","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,6,4,19.61,7.46,76.85,277.04,119.74,9.35
"PLA-015xZM-0003","PLA-015","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,3,17.38,8.1,84.39,265.42,117.83,12.17
"PLA-055xZM-0003","PLA-055","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,5,15.34,7.02,75.79,279.86,119.25,8.96
"PLA-025xZM-0003","PLA-025","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,1,6,15.37,7.64,82.5,248.84,116.21,10.83
"PLB-030xZM-0003","PLB-030","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,4,14.03,8.16,76.82,247.69,120.46,10.98
"PLB-026xZM-0003","PLB-026","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,2,4,15.5,7.71,84.59,284.35,120.92,10.38
"PLB-045xZM-0003","PLB-045","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,6,1,19.99,7.83,77.48,293.89,125.42,10.07
"PLA-015xZM-0001","PLA-015","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,1,2,17.93,9.6,82.04,293.71,115.08,10.27
"PLA-055xZM-0001","PLA-055","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,6,3,20.67,9.26,78.8,277.63,120.49,7.96
"PLA-025xZM-0001","PLA-025","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,6,6,18.7,7.77,73.72,282.67,118,9.34
"PLB-030xZM-0001","PLB-030","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,3,1,17.48,9.15,85.15,280.26,123.01,9.19
"PLB-026xZM-0001","PLB-026","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,4,3,18.82,9.64,80.26,294.48,121.59,10.33
"PLB-045xZM-0001","PLB-045","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,1,1,17.74,9.05,77.02,262.03,126.75,9.26
"PLA-015xZM-0002","PLA-015","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,2,2,21.87,8.05,85.18,284.84,118.54,10.42
"PLA-055xZM-0002","PLA-055","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,4,5,16.22,7.85,81.25,251.78,112.27,8.41
