"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLA-042xTOM-0001","PLA-042","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,13,8,105.68,6.29,41.11,91.83,119.32,NA
"PLA-030xTOM-0001","PLA-030","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,5,14,113.17,6.14,48.24,77.4,115.08,NA
"PLA-051xTOM-0001","PLA-051","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,15,2,108.53,5.46,41.17,84.09,112.25,NA
"PLA-058xTOM-0001","PLA-058","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,14,6,121.57,5.24,38.51,83.79,108.57,NA
"PLA-002xTOM-0001","PLA-002","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,1,10,100.07,6.24,44.31,95.52,109.81,NA
"PLA-055xTOM-0001","PLA-055","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,8,6,92.11,4.82,38.47,74.97,109.05,NA
"PLA-053xTOM-0001","PLA-053","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,12,11,114.06,6.25,47.17,84.5,113.17,NA
"PLA-025xTOM-0001","PLA-025","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,10,117.2,5.9,52.23,89.56,111.4,NA
"PLA-015xTOM-0001","PLA-015","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,9,2,88.97,5.05,43.26,82.79,110.95,NA
"PLA-043xTOM-0001","PLA-043","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,7,3,94.22,5.04,44.7,82.26,107,NA
"PLA-008xTOM-0001","PLA-008","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,8,8,111.66,6.46,48.98,87.48,118.48,NA
"PLA-057xTOM-0001","PLA-057","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,1,86.23,5.48,40.76,82.68,112.63,NA
"PLA-041xTOM-0001","PLA-041","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,13,7,86.25,6.36,42.58,81.92,111.71,NA
"PLA-024xTOM-0001","PLA-024","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,6,91.88,5.97,44.2,75.55,112.77,NA
"PLA-009xTOM-0001","PLA-009","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,3,1,97.52,6.1,41.94,76.67,114.64,NA
"PLA-023xTOM-0001","PLA-023","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,8,3,87.06,5.19,39.16,65.33,108.95,NA
"PLA-014xTOM-0001","PLA-014","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,15,5,91.46,6.62,53.63,73.28,113.9,NA
"PLA-044xTOM-0001","PLA-044","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,4,95.82,5.68,38.88,71.72,105.47,NA
"PLB-048xTOM-0001","PLB-048","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,11,2,80.11,5.08,32.18,86.6,103.5,NA
"PLB-029xTOM-0001","PLB-029","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,7,12,112.11,6.35,43.59,97.07,114.73,NA
"PLB-019xTOM-0001","PLB-019","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,10,9,88.72,5.33,37.83,91.66,111.89,NA
"PLB-022xTOM-0001","PLB-022","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,11,113.79,6.36,45.9,77.43,118.88,NA
"PLB-008xTOM-0001","PLB-008","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,9,6,85.99,5.89,41.55,84.49,110.25,NA
"PLB-052xTOM-0001","PLB-052","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,13,12,91.32,6.38,39.85,90.65,115.58,NA
"PLB-033xTOM-0001","PLB-033","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,2,6,97.75,5.36,47.89,88.2,114.03,NA
"PLB-030xTOM-0001","PLB-030","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,11,10,94.79,7.05,57.22,78.39,119.91,NA
"PLB-024xTOM-0001","PLB-024","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,9,15,84.07,5.98,46.08,80.5,110.69,NA
"PLB-047xTOM-0001","PLB-047","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,11,7,81.9,6.63,39.44,76.33,111.89,NA
"PLB-045xTOM-0001","PLB-045","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,14,2,85.84,5.63,35.92,76.82,114.4,NA
"PLB-026xTOM-0001","PLB-026","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,1,6,100.39,5.92,47.89,84.93,116.54,NA
"PLB-036xTOM-0001","PLB-036","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,4,1,90.62,5.82,37.58,67.78,110.41,NA
"PLB-053xTOM-0001","PLB-053","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,3,14,89.02,6.53,42.22,81.7,114.2,NA
"PLB-049xTOM-0001","PLB-049","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,13,1,84.58,5.21,38.01,68.28,112.8,NA
"PLB-025xTOM-0001","PLB-025","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,7,8,99.51,6.82,47.69,82.73,114.74,NA
"PLB-032xTOM-0001","PLB-032","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,3,4,73.25,5.65,38.57,79.93,107.42,NA
"PLB-027xTOM-0001","PLB-027","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,11,11,91.05,6.2,38.01,88.73,117.4,NA
"PLA-042xTOM-0002","PLA-042","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,2,14,110.42,6.5,50.78,74.17,111.04,NA
"PLA-030xTOM-0002","PLA-030","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,6,7,112.6,4.64,39.76,69.24,113.36,NA
"PLA-051xTOM-0002","PLA-051","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,2,13,106.08,6.21,41.33,72.49,114.36,NA
"PLA-058xTOM-0002","PLA-058","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,2,8,121.86,5.34,45.45,83.77,109.09,NA
"PLA-002xTOM-0002","PLA-002","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,14,11,122.01,5.29,43.15,91.63,112.09,NA
"PLA-055xTOM-0002","PLA-055","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,10,13,115.71,6.09,57.95,78.97,113.88,NA
"PLA-053xTOM-0002","PLA-053","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,6,3,97.78,5.37,40.55,69.27,108.44,NA
"PLA-025xTOM-0002","PLA-025","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,2,5,101.03,4.98,56.17,79.48,103.48,NA
"PLA-015xTOM-0002","PLA-015","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,2,3,115.37,5.57,48.69,82.8,111.17,NA
"PLA-043xTOM-0002","PLA-043","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,3,7,112.41,6.04,43.26,68.89,111.33,NA
"PLA-008xTOM-0002","PLA-008","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,1,15,105.29,5.62,54.42,72.63,112.59,NA
"PLA-057xTOM-0002","PLA-057","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,6,5,89.39,5.47,42.19,73.7,108,NA
"PLA-041xTOM-0002","PLA-041","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,6,9,101.92,6.36,46.64,70.46,108.34,NA
"PLA-024xTOM-0002","PLA-024","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,6,14,120.99,6.48,50.96,75.42,117.12,NA
"PLA-009xTOM-0002","PLA-009","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,9,12,125.08,6.17,50.14,85.28,121.12,NA
"PLA-023xTOM-0002","PLA-023","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,11,12,113.74,5.84,56.73,82,119.02,NA
"PLA-014xTOM-0002","PLA-014","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,5,3,100.46,6.04,39.1,60.03,110.77,NA
"PLA-044xTOM-0002","PLA-044","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,10,5,98.46,5.22,50.62,61.03,104.45,NA
"PLB-048xTOM-0002","PLB-048","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,12,6,90.84,5.47,42.07,78.25,106.22,NA
"PLB-029xTOM-0002","PLB-029","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,9,4,104.77,4.54,35.75,73.06,101.07,NA
"PLB-019xTOM-0002","PLB-019","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,15,3,96.73,5.07,43.54,77.26,109.93,NA
"PLB-022xTOM-0002","PLB-022","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,14,7,94.18,5.78,48.65,75.66,110.85,NA
"PLB-008xTOM-0002","PLB-008","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,7,14,81.6,6,47.99,72.13,114.61,NA
"PLB-052xTOM-0002","PLB-052","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,5,7,104.8,5.22,45.95,87.86,111.47,NA
"PLB-033xTOM-0002","PLB-033","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,3,5,98.88,5.85,45.67,68.23,108.21,NA
