"genotype","env","block","rep","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0064","CA-2024-L1","CA-2024-L1-B1",1,83.86,5.46,60.24,64.82,117.65,25.48
"TOM-0148","CA-2024-L1","CA-2024-L1-B1",1,87.39,4.77,56.12,73.55,120.57,16.89
"TOM-0207","CA-2024-L1","CA-2024-L1-B1",1,87.41,3.83,36.05,82.23,122.47,16.36
"TOM-0081","CA-2024-L1","CA-2024-L1-B1",1,99.22,4.73,48.36,71.03,115.75,23.77
"TOM-0200","CA-2024-L1","CA-2024-L1-B1",1,84.1,4.62,50.16,67.32,109.31,22
"TOM-0205","CA-2024-L1","CA-2024-L1-B1",1,81.04,5.73,53.43,74.95,106.82,21.72
"TOM-0125","CA-2024-L1","CA-2024-L1-B1",1,90.52,4.27,44.84,94.19,111.35,19.72
"TOM-0158","CA-2024-L1","CA-2024-L1-B1",1,106.83,5.67,60.98,69.34,109.5,21.78
"TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,86.8,4.07,50.05,76.56,116.95,19.25
"TOM-0156","CA-2024-L1","CA-2024-L1-B1",1,91.51,3.84,43.61,64.34,117.02,28.16
"TOM-0154","CA-2024-L1","CA-2024-L1-B1",1,89.85,4.97,59.15,77.31,111.06,16.47
"TOM-0036","CA-2024-L1","CA-2024-L1-B1",1,88.49,4.94,37.72,83.23,113.35,18.39
"TOM-0105","CA-2024-L1","CA-2024-L1-B1",1,75.74,4.93,56.76,76.29,110.16,20.38
"CHK-01","CA-2024-L1","CA-2024-L1-B1",1,87.56,4.35,43.23,82.37,118.45,19.63
"CHK-02","CA-2024-L1","CA-2024-L1-B1",1,64.01,5.32,41.57,80.82,121.89,17.75
"CHK-03","CA-2024-L1","CA-2024-L1-B1",1,72.33,4.25,39.92,72.23,116.59,15.16
"CHK-04","CA-2024-L1","CA-2024-L1-B1",1,81.76,4.5,48.75,71.56,122.16,18.13
"CHK-05","CA-2024-L1","CA-2024-L1-B1",1,64.26,4.37,47.59,73.03,120.62,25.84
"CHK-06","CA-2024-L1","CA-2024-L1-B1",1,76.34,4.05,59.65,71.93,118.91,21.54
"TOM-0064","CA-2024-L1","CA-2024-L1-B2",2,77.52,4.4,58.03,54.81,115.43,24.85
"TOM-0148","CA-2024-L1","CA-2024-L1-B2",2,85.12,5.31,40.8,63.01,121.3,17.01
"TOM-0207","CA-2024-L1","CA-2024-L1-B2",2,95.4,4.57,41.57,85.36,124.17,15.83
"TOM-0081","CA-2024-L1","CA-2024-L1-B2",2,88.35,4.19,43.44,64.76,121.81,19.01
"TOM-0200","CA-2024-L1","CA-2024-L1-B2",2,90.94,3.49,51.82,62.82,119.24,24.99
"TOM-0205","CA-2024-L1","CA-2024-L1-B2",2,91.29,3.63,45.05,69.93,110.81,19.87
"TOM-0125","CA-2024-L1","CA-2024-L1-B2",2,98.75,4.39,41.36,91.86,110.61,18.93
"TOM-0158","CA-2024-L1","CA-2024-L1-B2",2,114.94,5.06,53.8,69.5,114.58,23.7
"TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,100.65,3.53,57.95,65.77,116.08,16.28
"TOM-0156","CA-2024-L1","CA-2024-L1-B2",2,92.23,5.19,52.1,70.66,115.47,24.83
"TOM-0154","CA-2024-L1","CA-2024-L1-B2",2,94.37,3.85,43.48,75.84,114.74,19.59
"TOM-0036","CA-2024-L1","CA-2024-L1-B2",2,101.52,5.02,44.4,77.23,118.32,22.17
"TOM-0105","CA-2024-L1","CA-2024-L1-B2",2,83.21,4.81,53.77,88.58,111.2,22.97
