"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLA-025xTOM-0001","PLA-025","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,5,12,83.68,4.74,38.12,72.92,103.29,17.98
"PLA-015xTOM-0001","PLA-015","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,7,11,94,5.08,39.64,86.44,105.79,19.13
"PLA-053xTOM-0001","PLA-053","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,5,7,85.22,5.1,23.5,78.14,104.78,22.17
"PLA-055xTOM-0001","PLA-055","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,12,1,96.87,5.46,32.7,69.16,106.73,15.25
"PLA-014xTOM-0001","PLA-014","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,2,9,85.78,5.86,36.62,79.38,113.53,17.7
"PLA-008xTOM-0001","PLA-008","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,4,91.96,5.25,33.07,70.43,105.67,19.73
"PLA-058xTOM-0001","PLA-058","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,1,110.97,5.01,22.9,67.68,99.41,21.1
"PLA-024xTOM-0001","PLA-024","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,8,5,86.53,4.91,38.76,63.94,107.43,18.44
"PLB-026xTOM-0001","PLB-026","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,9,3,82.7,4.57,32.77,77.15,104.84,16.69
"PLB-045xTOM-0001","PLB-045","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,6,8,87.88,4.63,34.66,74.43,110.18,17.21
"PLB-033xTOM-0001","PLB-033","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,8,4,85.11,4.59,40.24,62.43,104.27,12.41
"PLB-030xTOM-0001","PLB-030","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,3,11,79.67,4.64,40.58,66.99,106.78,19.08
"PLB-048xTOM-0001","PLB-048","TOM-0001","CA-2024-L1","CA-2024-L1-B1",1,2,5,85.37,4.72,36.67,79.85,102.07,19.83
