"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLA-058xTOM-0001","PLA-058","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,12,105.51,4.71,34.48,73.1,109.27,19.02
"PLA-015xTOM-0001","PLA-015","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,11,6,110.46,4.99,44.65,71.83,112.7,19.37
"PLA-055xTOM-0001","PLA-055","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,5,111.1,5.61,44.19,92.94,114.65,19.31
"PLA-025xTOM-0001","PLA-025","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,1,94.09,4.22,39.38,90.5,114.61,14.55
"PLA-051xTOM-0001","PLA-051","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,3,11,96.47,4.93,33.28,79.07,106.21,15.33
"PLA-053xTOM-0001","PLA-053","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,6,95.18,5.66,37.32,89.74,109.09,23.27
"PLA-030xTOM-0001","PLA-030","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,7,103.7,4.76,35.41,83.32,112.61,18.48
"PLB-029xTOM-0001","PLB-029","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,3,10,101.87,4.01,42.06,80.17,112.57,20.28
"PLB-008xTOM-0001","PLB-008","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,8,108.98,4.55,42.89,91.63,113.38,21.11
"PLB-047xTOM-0001","PLB-047","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,5,1,110.39,5.14,42.91,78.11,117.61,23.21
"PLB-026xTOM-0001","PLB-026","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,6,8,91.69,5.22,48.49,82.33,115,17.44
"PLB-048xTOM-0001","PLB-048","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,3,120.62,4.06,37.75,76.1,109.92,19.15
"PLB-025xTOM-0001","PLB-025","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,2,108.16,5.54,45.33,80.93,115.89,22.56
"PLB-019xTOM-0001","PLB-019","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,10,113.45,5.37,45.19,91.56,118.56,16.77
"PLA-058xTOM-0002","PLA-058","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,3,6,100.15,4.85,35.81,86.16,113.99,16.36
"PLA-015xTOM-0002","PLA-015","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,2,105.36,4.95,39.33,74.03,112.01,18.27
"PLA-055xTOM-0002","PLA-055","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,1,96.47,4.31,39.44,86.84,110.28,17.02
"PLA-025xTOM-0002","PLA-025","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,8,94.36,4.76,36.81,86.63,111.99,12.49
"PLA-051xTOM-0002","PLA-051","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,7,2,89.48,5.55,40.55,76.32,112.98,18.27
"PLA-053xTOM-0002","PLA-053","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,6,3,94.19,5.28,46,68.66,115.83,22.17
"PLA-030xTOM-0002","PLA-030","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,1,97.48,4.96,36.57,64.92,111.16,16.72
"PLB-029xTOM-0002","PLB-029","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,9,11,100.12,4.97,41.21,83.96,109.36,19.99
"PLB-008xTOM-0002","PLB-008","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,5,8,81.99,4.71,37.97,86.06,117.68,16.72
"PLB-047xTOM-0002","PLB-047","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,7,100.38,5.67,45.39,64.63,120.41,20.85
"PLB-026xTOM-0002","PLB-026","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,9,7,107.84,4.61,40.85,78.12,113.29,18.76
"PLB-048xTOM-0002","PLB-048","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,1,7,94.46,5.58,42,60.2,113.73,20.89
"PLB-025xTOM-0002","PLB-025","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,2,98.26,5.72,36.25,71.45,119.86,21.97
"PLB-019xTOM-0002","PLB-019","TOM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,8,9,96.07,4.13,45.1,85.85,122.52,19.21
"PLA-058xTOM-0003","PLA-058","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,11,89.75,4.62,46.4,72.15,110.05,17.81
"PLA-015xTOM-0003","PLA-015","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,7,112.44,5.57,35.96,66.09,114.13,19.04
"PLA-055xTOM-0003","PLA-055","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,5,3,86.98,5,53.32,78.35,117.2,21.74
"PLA-025xTOM-0003","PLA-025","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,10,4,74.28,5.22,44.03,71.61,119.98,22.55
"PLA-051xTOM-0003","PLA-051","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,3,1,98.36,5.77,40.56,66.18,114.95,19.32
"PLA-053xTOM-0003","PLA-053","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,3,98.59,6.11,49.25,65.47,122.67,23.38
"PLA-030xTOM-0003","PLA-030","TOM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,6,10,75,4.19,35.89,66.86,122.9,18.07
