"genotype","env","block","rep","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0067","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,96.21,5.57,55.62,86.58,110.45,18.28
"TOM-0097","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,121.82,5.14,42.04,67.79,115.34,21.6
"TOM-0032","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,115.53,4.68,50.18,62.89,115.44,23.3
"TOM-0195","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,99.14,6.07,39.94,70.06,115.41,19.39
"TOM-0143","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,103.64,5.66,38.42,82.2,112.82,15.4
"CHK-01","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,85.77,5.47,40.77,65.46,112.91,18.53
"CHK-02","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,88.42,6.12,39.8,72.03,120.89,17.32
"CHK-03","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,72.97,5.73,32.79,59.17,112.32,15.47
"CHK-04","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,95.59,5.57,31,68.1,113.99,15.01
"CHK-05","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,89.77,5.08,36.55,59.06,113.65,20.4
"CHK-06","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,80.64,4.63,36.34,66.95,113.85,19.83
"TOM-0067","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,88.78,5.56,47.25,76.11,113.86,17.89
"TOM-0097","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,89.39,5.41,49.85,75.05,115.94,19.89
"TOM-0032","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,96.13,4.98,39.24,68.53,113.32,23.03
"TOM-0195","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,110.14,5.52,45.17,72.04,117.72,21.21
"TOM-0143","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,98.91,3.92,35.81,80.21,117.88,14.35
"CHK-01","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,100.88,5.34,40.22,65.56,113.23,15.33
"CHK-02","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,70.13,6.64,31.91,75.57,119.88,18.31
"CHK-03","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,74.79,5.53,25.9,61.99,111.5,13.66
"CHK-04","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,98.92,4.88,35.95,69.96,118.58,16.67
"CHK-05","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,63.95,5.79,36.08,58.34,116.95,21.52
"CHK-06","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,67.69,5.45,50.57,76.79,116.52,21.36
"TOM-0067","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,77.02,4.79,64.31,83.09,112.61,18.99
"TOM-0097","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,112.87,4.98,58.4,75.4,112.15,24.02
"TOM-0032","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,85.31,4.97,49.6,73.82,114.76,26.59
"TOM-0195","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,98.39,4.73,50.66,81.38,123.96,22.3
"TOM-0143","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,115.7,3.93,53.35,87.35,113.28,18.75
"CHK-01","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,79.69,4.58,46.21,62.07,117.95,20.66
"CHK-02","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,64.33,5.68,45.97,79.33,124.23,18.47
"CHK-03","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,67.86,4.27,40.3,70.53,112.57,16.78
"CHK-04","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,113.68,4.32,39.34,82.43,120.51,17.81
"CHK-05","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,79.73,4.69,38.32,77.13,117.21,21.09
"CHK-06","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,71.73,4.57,46,76.22,115.77,22.44
"TOM-0067","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,108.55,5.99,51.19,85.68,117.51,23.4
"TOM-0097","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,110.08,4.54,60.19,68.61,120.83,22.47
"TOM-0032","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,79.8,4.8,56.51,69.52,115.49,23.36
"TOM-0195","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,92.39,5.04,58.67,83.09,125.33,23.31
"TOM-0143","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,103.81,4.75,46.49,85.96,116.71,21.12
"CHK-01","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,110.02,4.2,51.73,64.6,119.77,19.87
"CHK-02","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,82.61,4.69,51.62,77.92,126.93,21.26
"CHK-03","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,68.18,4.75,30.73,69.81,119.69,13.13
"CHK-04","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,100.58,5.38,43.58,77.32,123.42,17.61
"CHK-05","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,79.51,5.12,49.66,66.8,117.75,20.42
"CHK-06","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,71.01,5.31,63.12,66.71,120.56,22.61
"TOM-0067","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,115.46,4.79,65.21,85.17,118.99,25.35
"TOM-0097","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,120.41,4.3,49.71,90.76,114.41,23.1
"TOM-0032","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,113.08,4.58,50.1,77.19,115.67,27.08
"TOM-0195","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,123.91,4.54,50.92,89.95,123.95,22.72
"TOM-0143","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,106.55,4.28,47.16,97.06,121.56,18.38
"CHK-01","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,110.46,4.59,53.19,79.59,115.82,15.24
"CHK-02","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,100.59,5.65,43.25,80.29,122.64,19.54
"CHK-03","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,100.07,4.93,45.7,69.61,111.31,15.44
"CHK-04","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,119.05,3.92,31.45,84.44,117.27,17.13
"CHK-05","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,87.88,4.22,41.68,85.83,118.46,23.63
"CHK-06","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,92.08,4.08,45.75,85.91,116.99,24.81
"TOM-0067","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,101.53,3.51,48.34,93.96,115.98,22.18
"TOM-0097","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,89.82,3.61,60.48,81.07,107.15,24.1
"TOM-0032","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,105.55,4.38,46.65,84.64,109.55,27.66
"TOM-0195","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,98.45,4.78,46.87,78.57,124.35,27.25
"TOM-0143","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,111.59,4.23,43.81,87.38,115.82,23.08
"CHK-01","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,110.05,4.9,44.46,83.83,118.79,19.69
"CHK-02","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,88.64,5.23,49.93,84.24,122.55,21.53
"CHK-03","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,70.78,4.44,26.59,79.33,113.06,16.04
"CHK-04","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,106.93,4.37,43.14,81.2,122.41,23.68
"CHK-05","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,87.73,3.87,39.28,78.79,114.92,22.73
"CHK-06","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,101.24,3.87,40.46,77.77,113.59,23.72
"TOM-0067","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,99.78,5.29,56.02,89.27,115.06,18.15
"TOM-0097","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,97.53,5.26,54.77,80.53,116.61,20.68
"TOM-0032","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,98.38,4.47,49.19,78.75,122.43,22.42
"TOM-0195","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,89.09,4.9,51.21,92.09,126.24,17.67
"TOM-0143","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,109.07,4.2,44.05,92.68,119.17,18.49
"CHK-01","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,84.89,4.69,37.34,69.68,122.52,16.61
"CHK-02","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,65.82,5.91,47.26,90.06,122.27,18.15
"CHK-03","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,69.33,4.57,36.51,66.84,117.59,12.68
"CHK-04","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,102.12,4.43,43.48,79.76,118.14,14.25
"CHK-05","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,65.34,4.86,41.34,72.77,121.04,16.17
"CHK-06","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,61.52,4.27,47.12,79.72,117.85,21.62
"TOM-0067","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,82.87,5.12,59.39,87.9,116.84,18.93
"TOM-0097","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,109.2,4.81,64.71,63.94,118.87,22.47
"TOM-0032","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,100.11,4.32,46.86,81.83,115.23,22.05
"TOM-0195","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,124.86,5.33,54.27,83.43,128.27,21.48
"TOM-0143","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,110.09,4.69,49.77,100.54,114.64,17.67
"CHK-01","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,101.18,4.29,37.54,90.11,123.68,12.9
"CHK-02","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,86.23,5.52,41.18,90.26,124.54,11.7
"CHK-03","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,81.13,5.02,35.06,69.6,120.95,15.31
"CHK-04","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,90.88,4.61,45.01,88.19,118.73,16.46
"CHK-05","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,77.36,3.63,48.91,63.54,119.6,16.58
"CHK-06","CAFARM-2025-L4","CAFARM-2025-L4-B2",2,67.45,3.99,47.61,80.45,119.46,20.91
"TOM-0067","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,106.23,5.4,58.14,81.73,108.8,18.32
"TOM-0097","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,97.65,6.01,45.17,72.59,107.27,17.41
"TOM-0032","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,118.72,5.95,46.82,65.98,104.08,24.43
"TOM-0195","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,115.3,6.37,43.81,82.5,121.92,16.27
"TOM-0143","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,119.82,5.18,45.82,82.09,104.83,17.91
"CHK-01","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,116.79,6.79,34.92,65.95,108.99,15.36
"CHK-02","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,89.55,6.56,39.97,71.36,116.43,17.35
"CHK-03","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,93.41,6.16,34.9,72.62,112.07,15.84
"CHK-04","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,92.85,5.97,34.68,73.43,112.87,16.3
"CHK-05","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,89.21,6.79,47.04,69.54,105.91,18.35
"CHK-06","CAFARM-2025-L5","CAFARM-2025-L5-B1",1,79.23,6.7,49.57,86.51,107.36,19.63
"TOM-0067","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,105.61,6.57,58.11,78.74,104.1,19.35
