"genotype","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0047","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,3,112.95,3.81,45.76,83.79,120.63,15.92
"TOM-0125","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,5,100.11,5.15,42.23,72.77,118.4,21.48
"TOM-0032","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,2,5,111.37,3.13,51.52,82.04,124.6,20.74
"TOM-0100","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,2,2,94.88,6.02,64.75,71.4,128.63,25.3
"CHK-01","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,4,97.16,5.29,47.25,59.09,130.65,18.31
"CHK-02","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,4,2,87.35,4.62,42.28,67.81,128.63,22
"CHK-03","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,3,3,91.68,5.78,40.08,71.68,130.26,13.4
"CHK-04","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,1,5,87.44,3.72,35.69,61.84,129.11,18.56
"CHK-05","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,3,1,91.58,5.08,38.88,77.96,128.49,16.91
"CHK-06","EASTFARM-2025-L1","EASTFARM-2025-L1-B1",1,1,1,96.21,5.09,36.73,80.12,124.57,19.54
"TOM-0047","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,4,125.77,4.36,41.6,82.53,126,13.01
"TOM-0125","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,2,3,108.87,5.03,41.6,75.03,122.77,20.64
"TOM-0032","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,5,99.47,4.42,50.28,76.63,124.56,23.24
"TOM-0100","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,2,4,82.85,5.62,53.3,69.85,130.02,26.13
"CHK-01","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,1,4,93.48,5.36,44.86,52.35,131.64,18.52
"CHK-02","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,4,1,75.83,5.16,37.06,59.15,129.43,17.69
"CHK-03","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,3,2,98.96,5.23,34.81,65.89,127.04,14.83
"CHK-04","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,1,3,100.26,3.96,41.05,63.17,130.67,14.83
"CHK-05","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,2,1,108.86,4.9,37.11,75.84,129.09,21.39
"CHK-06","EASTFARM-2025-L1","EASTFARM-2025-L1-B2",2,1,2,98.53,4.77,44.02,63.36,130.75,21.98
"TOM-0047","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,2,2,102.33,5.63,35.8,89.6,112.68,14.03
"TOM-0125","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,1,3,79.52,6.56,28.16,81.11,110.51,20.58
