"genotype","env","block","rep","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0064","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,89.6,7.08,48.42,69.76,113.64,25.71
"TOM-0067","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,131.01,5.58,57.48,88.25,116.4,21.04
"TOM-0125","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,129.7,6.01,36.81,94.54,103.4,23.23
"TOM-0097","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,128.16,6,52.99,82.69,109.59,23.8
"TOM-0205","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,114.19,7.26,43.63,85.7,107.24,24.59
"CHK-01","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,116.46,5.39,51.49,83.43,115.41,22.63
"CHK-02","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,112.39,5.9,41.73,83.34,118.07,22.03
"CHK-03","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,93.25,5.73,36.19,74.87,119.01,20.89
"CHK-04","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,111.15,5.63,37.82,75.62,120.91,25.12
"CHK-05","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,113.09,5.86,42.84,73.76,119.19,28.8
"CHK-06","CAFARM-2025-L1","CAFARM-2025-L1-B1",1,89.63,5.13,39.13,81.61,118.64,26.26
"TOM-0064","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,133.87,7.26,61.74,69.05,110.43,26.92
"TOM-0067","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,113.4,5.3,57.73,89.64,113.71,23.19
"TOM-0125","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,118.23,5.99,41.35,92,104.86,24.03
"TOM-0097","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,141.13,5.94,56.65,75.32,114.37,27.5
"TOM-0205","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,101.41,6.95,40.81,76.36,106.32,25.7
"CHK-01","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,131.85,5.82,51.45,79.13,115.6,21.91
"CHK-02","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,95.04,6.17,46.01,78.85,121.04,19.63
"CHK-03","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,100.82,6.07,36.49,69.3,114.13,20.68
"CHK-04","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,118.66,5.99,38.93,87.27,119.7,23.31
"CHK-05","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,108.14,5.75,43.04,67.62,118.38,22.67
"CHK-06","CAFARM-2025-L1","CAFARM-2025-L1-B2",2,109.68,5.52,47.39,73.71,116.88,21.71
"TOM-0064","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,113.08,5.88,42.45,58.37,104,19.92
"TOM-0067","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,106.91,4.78,51.23,78.47,109.72,21.15
"TOM-0125","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,113.92,4.2,26.91,81.94,104.96,18.12
"TOM-0097","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,129.63,3.87,45.92,72.12,112.24,20.31
"TOM-0205","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,106.21,5.83,37.74,80.16,95.19,20.23
"CHK-01","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,108.66,4.54,50.07,75.52,108.22,15.73
"CHK-02","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,87.03,5.84,38.45,75.57,114.38,20.15
"CHK-03","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,87.63,4.55,32.83,61.28,110.28,16.93
"CHK-04","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,110.42,4.25,46.63,68.85,114.15,14.29
"CHK-05","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,113.1,5.28,44.06,71.83,111.17,17.43
"CHK-06","CAFARM-2025-L2","CAFARM-2025-L2-B1",1,99.49,4.26,48.84,78.45,111.24,20.8
"TOM-0064","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,116.23,5.75,48.62,61.71,109.02,24.52
"TOM-0067","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,119.5,4.74,55.13,96.59,110.75,20.65
"TOM-0125","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,114.71,3.43,39.29,84.9,98.8,21.54
"TOM-0097","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,102.74,4.65,42.01,68.68,112.31,25.58
"TOM-0205","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,105.64,5.73,44.05,68.42,103.36,25.82
"CHK-01","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,117.49,4.33,32.28,77.72,109.59,19.88
"CHK-02","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,93.33,5.66,37.84,76.89,113,13.07
"CHK-03","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,88.94,4.84,32.34,67.82,109.34,14.65
"CHK-04","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,121.65,5.04,36.91,68.45,114.8,18.83
"CHK-05","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,95.15,4.66,39.73,71.81,112.47,21.16
"CHK-06","CAFARM-2025-L2","CAFARM-2025-L2-B2",2,86.57,4.27,42.3,69.14,108.28,20.12
"TOM-0064","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,75.18,6.31,34.51,49.82,120.75,18.84
"TOM-0067","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,81.89,5.39,44.83,67.3,116.32,14.3
"TOM-0125","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,106.43,4.73,30,86.85,110.14,15.32
"TOM-0097","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,105.27,4.36,42.45,64.87,121.12,17.61
"TOM-0205","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,100.96,5.86,31.64,52.19,110.71,15.03
"CHK-01","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,98.16,4.69,31.87,52.66,119.79,13.16
"CHK-02","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,94.38,6.17,39.71,60.74,121.59,12.6
"CHK-03","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,87.66,5.09,26.66,57.83,121.62,8.97
"CHK-04","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,105.68,4.47,29.76,49.28,123.73,9.91
"CHK-05","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,94.57,4.78,26.83,54.87,124.87,14.3
"CHK-06","CAFARM-2025-L3","CAFARM-2025-L3-B1",1,81.2,4.92,37.37,66.49,121.48,19.74
"TOM-0064","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,92.49,5.8,51.19,54.36,120.07,17.88
"TOM-0067","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,110.74,4.84,43.35,75.63,116.43,13.4
"TOM-0125","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,108.47,4.13,19.89,66.33,111.23,16.59
"TOM-0097","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,107.82,4.34,43.63,54.86,116.12,18.74
"TOM-0205","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,108.64,5.51,35.85,73.9,109.38,14.79
"CHK-01","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,115.97,4.25,37.29,62.54,120.78,13.3
"CHK-02","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,69.78,5.24,21.96,62.66,123.33,12.85
"CHK-03","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,75.29,4.32,34.65,57.12,120.33,12.26
"CHK-04","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,118.85,4.65,28.28,61.02,120.7,9.75
"CHK-05","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,80.16,5.24,35.75,60.79,121.65,19.23
"CHK-06","CAFARM-2025-L3","CAFARM-2025-L3-B2",2,81.92,3.88,41.91,75.01,120.75,19.23
"TOM-0064","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,82.99,5.61,36.32,60.97,111.29,27.1
"TOM-0067","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,92.51,4.8,55.19,82.75,108.56,20.78
"TOM-0125","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,106,3.85,31.02,71.36,101.29,23.08
"TOM-0097","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,84.59,4.25,46.79,64.46,108.72,26.02
"TOM-0205","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,59.95,5.48,34.09,59.65,100.85,24.71
"CHK-01","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,79.61,4.07,49.52,59.75,105.95,19.39
"CHK-02","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,65.85,4.85,44.62,71.59,118.27,22.63
"CHK-03","CAFARM-2025-L4","CAFARM-2025-L4-B1",1,46.23,4.33,36.23,61.28,113.38,18.54
