"genotype","env","block","rep","yield","brix","fruit_wt","maturity"
"TOM-001","SITE-1","SITE-1-B1",1,90.23,4.37,71,106.7
"TOM-002","SITE-1","SITE-1-B1",1,54.79,4.53,61.4,111.2
"TOM-003","SITE-1","SITE-1-B1",1,85.9,3.44,75.3,114.5
"TOM-004","SITE-1","SITE-1-B1",1,64.94,4.79,70.6,111.1
"TOM-005","SITE-1","SITE-1-B1",1,71.6,4.66,74,104.2
"TOM-006","SITE-1","SITE-1-B1",1,72.5,4.89,71.5,109.2
"TOM-007","SITE-1","SITE-1-B1",1,71.78,3.78,74.3,109.9
"TOM-008","SITE-1","SITE-1-B1",1,65.54,4.72,55,113.9
"TOM-009","SITE-1","SITE-1-B1",1,95.56,3.91,75.5,105.8
"TOM-010","SITE-1","SITE-1-B1",1,59.56,4.06,72.5,103.4
"TOM-011","SITE-1","SITE-1-B1",1,88.96,3.76,84.2,104.3
"TOM-012","SITE-1","SITE-1-B1",1,98.35,3.71,74.2,109.3
"TOM-013","SITE-1","SITE-1-B1",1,55.61,4.54,66.2,108.4
"TOM-014","SITE-1","SITE-1-B1",1,68.35,3.91,93.9,103.2
"TOM-015","SITE-1","SITE-1-B1",1,78.84,3.19,87.3,109.2
"TOM-016","SITE-1","SITE-1-B1",1,92.65,3.94,66.4,117.1
"TOM-017","SITE-1","SITE-1-B1",1,84,4.52,70.5,113.7
"TOM-018","SITE-1","SITE-1-B1",1,65.15,4.66,74.4,114.5
"TOM-019","SITE-1","SITE-1-B1",1,61.75,3.4,61.4,117
"TOM-020","SITE-1","SITE-1-B1",1,59.66,3.35,70.2,111.7
"TOM-021","SITE-1","SITE-1-B1",1,82.94,4.5,68.2,103.8
"TOM-022","SITE-1","SITE-1-B1",1,57.77,4.06,68.8,113
"TOM-023","SITE-1","SITE-1-B1",1,70.1,4.3,72.9,114.3
"TOM-024","SITE-1","SITE-1-B1",1,87.87,3.93,69.6,115.5
"TOM-025","SITE-1","SITE-1-B1",1,101.92,3.46,89.7,101.8
"TOM-026","SITE-1","SITE-1-B1",1,68.8,5.02,86.3,106.3
"TOM-027","SITE-1","SITE-1-B1",1,64.38,3.11,69.8,104.4
"TOM-028","SITE-1","SITE-1-B1",1,55.77,3.72,59.9,104.2
"TOM-029","SITE-1","SITE-1-B1",1,78.91,4.6,77.7,105.3
"TOM-030","SITE-1","SITE-1-B1",1,75.14,4.52,62.7,110.9
"TOM-031","SITE-1","SITE-1-B1",1,79.18,4.8,67.5,104.2
"TOM-032","SITE-1","SITE-1-B1",1,64.81,4.02,78.6,120.4
"TOM-033","SITE-1","SITE-1-B1",1,83.55,4.02,89.9,110.6
"TOM-034","SITE-1","SITE-1-B1",1,91.5,4.42,56.2,107
"TOM-035","SITE-1","SITE-1-B1",1,75.9,3.69,77.2,108.8
"TOM-036","SITE-1","SITE-1-B1",1,62.89,4.58,66.7,111.4
"TOM-037","SITE-1","SITE-1-B1",1,67.52,4.53,70.6,110.4
"TOM-038","SITE-1","SITE-1-B1",1,80.67,3.41,73.9,112.5
"TOM-039","SITE-1","SITE-1-B1",1,41.68,4.09,62.3,109.6
"TOM-040","SITE-1","SITE-1-B1",1,82.25,3.94,79.9,109.3
"TOM-041","SITE-1","SITE-1-B1",1,79.22,4,71.4,106.8
"TOM-042","SITE-1","SITE-1-B1",1,74.54,4.63,63,109.9
"TOM-043","SITE-1","SITE-1-B1",1,76.13,4.15,74.3,110.8
"TOM-044","SITE-1","SITE-1-B1",1,61.05,4.79,53.6,109.1
"TOM-045","SITE-1","SITE-1-B1",1,72.22,4.59,79.2,113.3
"TOM-046","SITE-1","SITE-1-B1",1,77.63,4.54,79,110.7
"TOM-047","SITE-1","SITE-1-B1",1,68.51,4.51,73,111.2
"TOM-048","SITE-1","SITE-1-B1",1,86.91,3.76,66.4,109.3
"TOM-049","SITE-1","SITE-1-B1",1,63.09,4.16,67.4,109
"TOM-050","SITE-1","SITE-1-B1",1,68.77,4.13,77.4,113.3
"TOM-051","SITE-1","SITE-1-B1",1,84.31,4.51,77.4,110.4
"TOM-052","SITE-1","SITE-1-B1",1,57.85,3.96,82,112.2
"TOM-053","SITE-1","SITE-1-B1",1,79.52,3.35,66.8,104.1
"TOM-054","SITE-1","SITE-1-B1",1,84.24,3.6,79.4,105.1
"TOM-055","SITE-1","SITE-1-B1",1,73.19,2.52,73.9,107.8
"TOM-056","SITE-1","SITE-1-B1",1,71.33,3.84,63.4,105.4
"TOM-057","SITE-1","SITE-1-B1",1,83.21,3.58,67.7,115.7
"TOM-058","SITE-1","SITE-1-B1",1,85.66,5.66,72.2,109.7
"TOM-059","SITE-1","SITE-1-B1",1,47.58,4.33,73,109.6
"TOM-060","SITE-1","SITE-1-B1",1,78.19,3.78,76.9,107.7
"TOM-001","SITE-1","SITE-1-B2",2,73.43,3.95,56,104
"TOM-002","SITE-1","SITE-1-B2",2,70.35,5.06,55.4,108
"TOM-003","SITE-1","SITE-1-B2",2,85.7,4.38,71,108.4
"TOM-004","SITE-1","SITE-1-B2",2,71.96,4.53,75.6,108
"TOM-005","SITE-1","SITE-1-B2",2,76.67,4.33,64.3,104.6
"TOM-006","SITE-1","SITE-1-B2",2,75.46,5.43,68,105.3
"TOM-007","SITE-1","SITE-1-B2",2,75.59,3.77,72.1,107
"TOM-008","SITE-1","SITE-1-B2",2,67.77,4.89,56.6,112.4
"TOM-009","SITE-1","SITE-1-B2",2,105.03,4.54,53.7,106
"TOM-010","SITE-1","SITE-1-B2",2,55.17,4.79,68.3,106.9
"TOM-011","SITE-1","SITE-1-B2",2,83.14,3.88,76.8,106.9
"TOM-012","SITE-1","SITE-1-B2",2,94.61,3.95,72.7,102.9
"TOM-013","SITE-1","SITE-1-B2",2,67.54,4.31,62.1,107.1
"TOM-014","SITE-1","SITE-1-B2",2,76.04,3.84,78.9,104.1
"TOM-015","SITE-1","SITE-1-B2",2,79.71,4.27,87,104.9
"TOM-016","SITE-1","SITE-1-B2",2,74.7,4.95,71,112.6
"TOM-017","SITE-1","SITE-1-B2",2,66.96,5.18,75.8,107.2
"TOM-018","SITE-1","SITE-1-B2",2,38.19,6.45,81.5,111.1
"TOM-019","SITE-1","SITE-1-B2",2,53.35,5.04,58.9,118.1
"TOM-020","SITE-1","SITE-1-B2",2,98.32,3.54,79.8,111.5
"TOM-021","SITE-1","SITE-1-B2",2,86.07,3.76,71.8,103.2
"TOM-022","SITE-1","SITE-1-B2",2,66.39,5.04,67.4,107.7
"TOM-023","SITE-1","SITE-1-B2",2,86.11,4.62,59.5,113
"TOM-024","SITE-1","SITE-1-B2",2,79.96,4.08,76.8,112.6
"TOM-025","SITE-1","SITE-1-B2",2,81.48,3.37,77.9,99.7
"TOM-026","SITE-1","SITE-1-B2",2,70.88,4.73,78.6,108.7
"TOM-027","SITE-1","SITE-1-B2",2,70.74,4.48,72.6,109.5
"TOM-028","SITE-1","SITE-1-B2",2,68.34,5.29,71.8,100.4
"TOM-029","SITE-1","SITE-1-B2",2,76.83,5.62,84.1,105.5
"TOM-030","SITE-1","SITE-1-B2",2,78.48,4.84,68.7,102.3
"TOM-031","SITE-1","SITE-1-B2",2,74.2,5.52,76.8,109
"TOM-032","SITE-1","SITE-1-B2",2,70.47,4.9,60.2,115.4
"TOM-033","SITE-1","SITE-1-B2",2,89.22,4.35,85.8,103.1
"TOM-034","SITE-1","SITE-1-B2",2,70.09,5.07,70.9,105.7
"TOM-035","SITE-1","SITE-1-B2",2,80.73,3.39,78,113.9
"TOM-036","SITE-1","SITE-1-B2",2,49.72,4.12,60,110.5
"TOM-037","SITE-1","SITE-1-B2",2,80.6,4.09,63.2,106.1
"TOM-038","SITE-1","SITE-1-B2",2,65.22,3.97,61.1,108.1
"TOM-039","SITE-1","SITE-1-B2",2,49.81,5.21,66.6,110.8
"TOM-040","SITE-1","SITE-1-B2",2,74.88,5.02,78,105.8
"TOM-041","SITE-1","SITE-1-B2",2,64.13,4.53,78.5,108.5
"TOM-042","SITE-1","SITE-1-B2",2,65.24,4.2,58.3,107.6
"TOM-043","SITE-1","SITE-1-B2",2,83.66,3.45,71.8,103
"TOM-044","SITE-1","SITE-1-B2",2,55.84,5.14,64.9,107
"TOM-045","SITE-1","SITE-1-B2",2,66.05,4.12,70.8,114.1
"TOM-046","SITE-1","SITE-1-B2",2,88.91,4.76,78.9,108.2
